712	755	339	255	232
726	124	425	667	61
255	704	144	631	133
6	117	691	615	977
580	44	591	461	15
699	726	126	254	350
933	271	519	470	84
643	291	610	231	265
687	595	22	407	418
167	570	731	238	986
193	399	32	628	129
56	681	271	898	931
373	328	827	574	462
921	36	75	73	632
591	479	76	698	873
204	899	724	596	43
196	781	997	815	464
365	455	758	104	311
790	556	911	575	319
305	161	634	262	18
239	681	719	713	869
864	884	40	108	507
236	27	316	451	4
755	756	788	110	715
319	535	801	825	227
747	404	906	923	818
997	393	657	887	227
796	556	366	796	126
869	761	242	127	813
45	946	255	860	230
549	145	636	770	49
144	167	637	193	642
169	105	576	632	742
38	773	223	265	88
787	876	224	923	976
154	288	451	588	103
927	811	774	314	244
405	768	421	348	378
91	462	20	317	953
284	990	423	810	273
145	623	357	33	960
698	364	236	528	28
85	125	532	276	1
981	24	78	256	534
727	276	58	969	432
372	611	394	639	543
614	437	588	171	878
570	674	169	653	162
360	763	986	654	421
734	81	244	674	446
398	841	137	549	384
262	234	476	401	923
842	289	56	316	726
662	791	159	586	815
34	166	90	972	100
322	395	175	123	616
547	417	520	537	785
372	435	280	626	764
300	203	206	210	136
977	743	391	589	447
719	771	955	160	373
659	370	128	847	455
698	781	719	936	776
313	475	263	884	297
805	511	160	519	406
295	503	177	692	413
235	795	665	896	639
447	299	316	957	557
794	448	660	770	802
35	811	934	671	37
191	950	536	535	228
427	238	359	430	671
530	202	15	924	574
438	917	880	204	12
691	558	691	152	24
756	629	845	472	871
593	869	590	765	347
887	558	266	360	875
994	87	735	792	284
543	203	595	98	596
430	923	617	870	216
806	49	916	638	217
422	404	548	348	51
536	450	22	415	164
203	304	861	571	455
262	4	511	611	473
102	960	676	602	298
919	975	480	935	843
423	331	766	630	663
446	641	703	735	974
912	760	679	883	361
357	380	869	382	824
454	494	382	446	311
381	694	378	721	223
4	570	649	380	712
898	998	673	649	765
685	33	360	490	626
528	220	84	336	658
36	712	476	473	357
745	987	766	775	189
986	19	44	258	43
752	30	350	200	240
52	811	325	808	412
449	992	400	415	864
315	272	945	653	239
342	534	872	251	979
904	525	550	929	688
416	476	121	721	17
619	204	577	928	325
244	243	296	648	220
254	453	702	813	8
563	947	65	560	461
744	272	342	442	267
851	86	31	518	879
36	816	981	910	865
136	524	544	205	764
94	22	56	25	11
657	707	55	405	444
714	202	855	619	493
374	776	441	893	72
562	225	163	931	754
5	954	619	544	928
449	29	472	741	152
315	227	918	549	813
31	700	199	998	471
513	256	931	602	199
154	482	717	805	214
190	56	501	305	592
604	357	262	964	742
100	847	436	5	147
249	190	547	985	371
483	316	663	638	857
220	989	995	546	362
347	653	915	824	411
86	630	159	644	562
724	761	325	773	61
235	156	754	608	973
678	528	533	840	1000
622	585	48	105	595
706	641	653	550	461
298	804	376	307	141
415	390	401	92	650
142	189	436	116	994
379	848	442	497	823
830	778	312	553	467
986	372	713	480	151
604	263	737	539	977
904	912	629	242	625
583	67	336	545	428
73	75	770	814	399
947	652	323	560	796
881	307	791	809	340
551	20	333	605	435
220	533	747	276	207
830	667	979	33	590
798	304	490	314	264
878	914	973	557	855
646	377	181	580	540
22	669	715	504	902
882	53	391	15	328
1	360	698	786	940
767	406	113	612	620
495	161	682	20	562
90	336	653	173	514
9	56	423	109	116
86	725	606	95	428
883	278	359	387	427
255	523	857	439	574
794	715	336	607	272
476	488	136	509	784
648	835	380	445	640
939	240	622	248	169
8	38	467	106	502
819	12	889	748	326
112	329	428	345	476
630	864	77	280	716
647	285	284	400	905
722	351	392	369	167
450	894	147	628	690
892	857	313	646	995
547	843	661	468	419
425	84	465	707	148
38	807	370	297	355
381	96	367	901	161
254	928	100	760	904
86	924	757	30	230
57	78	17	472	231
159	900	509	669	481
261	590	908	72	749
799	476	866	924	874
500	551	323	685	98
608	334	463	501	526
6	345	524	800	721
195	842	854	697	167
10	808	456	727	80
67	5	23	626	593
183	476	687	727	805
931	474	93	981	925
937	5	974	364	85
39	187	809	926	27
